# START,0,0,0,0,0,0
# TARGET,1.5708,0,0,0,0,0
# OBS,-0.6,-0.4,-0.6,-0.4,-1,0.5
Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
166,0.211266,-0.181845,-0.107324,-0.205169,0.109549,-0.0653794,1.39688
167,0.319276,-0.26907,0.0426763,-0.0993775,0.0235956,-0.217472,1.30317
168,0.234237,-0.11907,0.029606,-0.20042,0.0743053,-0.239711,1.38007
169,0.293397,-0.185455,0.179606,-0.186262,0.0927569,-0.305545,1.35464
170,0.344839,-0.213181,0.0725828,-0.130164,0.0403256,-0.217124,1.27256
171,0.35577,-0.223869,-0.0774172,-0.115753,0.120282,-0.385294,1.30718
172,0.43905,-0.131309,-0.116066,-0.137247,-0.0455275,-0.492858,1.25514
173,0.366861,-0.0519769,-0.120969,-0.0132964,-0.0116559,-0.417741,1.28126
174,0.437533,-0.12647,-0.0962689,-0.039688,0.0649104,-0.284409,1.18162
175,0.339842,0.0165964,-0.203518,-0.0207663,0.00324527,-0.134809,1.25521
176,0.328871,-0.133404,-0.202952,-0.047115,-0.071997,-0.214211,1.28633
177,0.356857,-0.187831,-0.0657446,0.0325383,0.0966904,-0.187905,1.24859
178,0.266521,-0.268023,-0.112224,-0.0659155,0.244675,-0.322246,1.39772
179,0.27729,-0.266478,0.00472496,0.124983,0.0737472,-0.2311,1.34858
180,0.254383,-0.284062,-0.0495173,0.0345472,-0.0765654,-0.136466,1.35712
181,0.142981,-0.163265,-0.0673062,0.184382,-0.136881,-0.0784942,1.45902
182,0.246539,-0.155868,0.0428243,0.134515,-0.220752,-0.162572,1.36859
183,0.205566,-0.0510914,0.152121,0.148362,-0.0998127,-0.250718,1.4087
184,0.20859,-0.0183263,0.0633501,0.0484199,-0.162434,-0.129914,1.38042
185,0.321825,-0.104743,0.180119,-0.090236,-0.163374,0.0214399,1.28009
186,0.348246,-0.0992839,0.255029,-0.129825,-0.111734,0.00570901,1.26448
187,0.449935,-0.118987,0.139733,-0.170923,0.088266,-0.0519895,1.15314
188,0.412841,-0.0695686,0.208433,-0.34239,0.288266,0.0463022,1.26159
189,0.425382,-0.136135,0.203088,-0.461586,0.266102,0.2383,1.30859
190,0.383457,0.00578191,0.074651,-0.557768,0.18364,0.12708,1.3328
191,0.456715,0.0865516,0.13898,-0.614578,0.135255,0.160233,1.29987
192,0.419111,0.10328,0.00899717,-0.414578,-0.0368039,-0.0245815,1.22921
193,0.335624,-0.0467196,0.0811299,-0.235372,-0.137633,-0.104416,1.27266
194,0.240057,0.0185572,-0.0179206,-0.247796,-0.225254,-0.219544,1.38992
195,0.342887,-0.113363,-0.0881335,-0.366905,-0.205358,-0.2743,1.33432
196,0.395765,-0.0334231,-0.0090565,-0.179343,-0.0327119,-0.301154,1.22712
197,0.277771,0.0609894,0.0433407,-0.157893,-0.160724,-0.197951,1.32946
198,0.201291,-0.0148488,-0.0634948,-0.0286249,-0.151565,-0.121639,1.38506
199,0.310832,-0.0179849,-0.21071,-0.152427,0.0372356,0.0487551,1.28811
200,0.383769,-0.0372289,-0.10976,-0.123183,-0.155358,0.0227479,1.20925
201,0.272567,-0.0413721,-0.149642,-0.29828,-0.0969428,0.0630573,1.34605
202,0.347937,0.0225419,-0.213782,-0.11679,-0.0595314,-0.136943,1.256
