# START,0,0,0,0,0,0
# TARGET,1.5708,0,0,0,0,0
# OBS,-0.6,-0.4,-0.6,-0.4,-1,0.5
Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
123,0.369504,-0.0865525,-0.012755,-0.0435196,-0.0356985,0.285939,1.23923
124,0.280942,-0.107792,0.0885889,0.107533,0.0901071,0.362868,1.35445
125,0.317184,-0.250401,-0.0614111,0.230006,0.20689,0.374744,1.369
126,0.367131,-0.189307,0.0411706,0.178421,0.245951,0.43787,1.33056
127,0.248242,-0.191916,0.109561,0.0272502,0.123806,0.260391,1.37181
128,0.367076,-0.0419164,0.0834971,0.000968962,0.0638564,0.145886,1.2178
129,0.282157,-0.0934307,-0.0665029,0.0073035,-0.136144,0.252336,1.32514
130,0.432157,-0.119348,-0.0349005,0.0684949,0.0561121,0.355353,1.20253
131,0.319621,-0.178586,-0.0580183,0.0627436,0.208952,0.160427,1.29384
132,0.368088,-0.028586,-0.00231283,-0.00207998,0.256384,0.0155679,1.23017
133,0.375041,0.0606393,-0.108017,0.0165663,0.277025,-0.145601,1.24233
134,0.435359,-0.0699282,-0.258017,0.100908,0.267835,0.00962969,1.20112
135,0.371544,0.0283717,-0.134115,0.0307299,0.147777,0.19649,1.23223
136,0.32708,0.0752734,-0.0554365,-0.115129,-0.0359535,0.165278,1.2639
137,0.451851,-0.00985757,-0.016003,-0.259617,0.13675,0.169362,1.16926
138,0.364806,0.0310738,-0.0498148,-0.206443,0.304093,0.369362,1.31506
139,0.476553,0.01317,0.0447158,-0.198988,0.380499,0.569362,1.30694
140,0.377258,0.0641959,-0.00537688,-0.0918399,0.526986,0.585587,1.43448
141,0.311505,0.110328,-0.118076,0.0362808,0.363531,0.522833,1.42083
142,0.294391,0.0951225,0.0319243,-0.100128,0.413754,0.475253,1.43051
143,0.300168,-0.0111947,0.0463043,-9.45477e-05,0.262496,0.382392,1.35347
144,0.320868,-0.143577,0.148348,-0.00328827,0.086953,0.254075,1.29502
145,0.289454,-0.0303804,0.124413,0.00211817,-0.103581,0.071348,1.29386
146,0.139841,0.0497748,0.0296031,-0.0497351,-0.234562,-0.122909,1.45725
147,0.192467,0.199775,-0.0535191,-0.157357,-0.404325,0.00379962,1.45973
148,0.128799,0.344809,-0.0824592,-0.145202,-0.224023,0.0387986,1.50925
149,0.243854,0.385224,-0.183446,-0.0828981,-0.349007,-0.107005,1.44324
150,0.285997,0.28623,-0.233734,-0.163547,-0.304133,0.0233303,1.38096
151,0.252739,0.249859,-0.133594,-0.0205954,-0.268681,0.171158,1.38545
152,0.258944,0.0998592,-0.169282,-0.184498,-0.195868,-0.00531513,1.35352
153,0.150408,-0.0319484,-0.0240424,-0.0567328,-0.0702236,-0.0348603,1.42424
154,0.136993,0.0938666,0.0466165,-0.0340989,0.000172217,-0.0731514,1.43989
155,0.059811,0.214303,0.0698512,-0.205358,0.0854383,-0.0917838,1.54654
156,0.141193,0.268837,-0.00407213,-0.052729,0.12149,-0.264607,1.48446
157,0.278435,0.206694,0.091166,-0.137093,0.0965099,-0.224596,1.34156
158,0.253644,0.273859,0.0503498,-0.0781593,-0.00568125,-0.0589474,1.34983
159,0.222995,0.215445,0.0396913,-0.126653,-0.00328829,0.113183,1.37602
160,0.362641,0.214637,-0.0443101,-0.103431,-0.00834639,0.168086,1.24366
161,0.363039,0.114753,0.000432343,-0.242761,-0.159746,0.292193,1.28128
162,0.39444,-0.0200632,-0.143814,-0.267154,-0.105687,0.092193,1.22309
163,0.286812,-0.161607,-0.0115853,-0.28927,-0.217791,-0.0344556,1.34431
164,0.23974,-0.0411372,-0.0134754,-0.0950804,-0.245433,0.165544,1.36758
165,0.276322,-0.00485742,-0.163475,0.00583062,-0.115433,0.204487,1.32574
166,0.321231,-0.154857,-0.251314,0.128037,0.0471975,0.222777,1.31027
167,0.227496,-0.161551,-0.343896,-0.0207216,0.0120651,0.420159,1.45806
168,0.260497,-0.0354401,-0.346122,0.151437,-0.0531916,0.282599,1.39412
169,0.38705,-0.143514,-0.262028,-0.0016397,-0.0974408,0.126885,1.2313
170,0.316,-0.0872557,-0.115954,-0.124983,-0.0149144,0.0527835,1.27051
171,0.259687,0.0375388,-0.108963,-0.0909559,0.167084,0.0128695,1.3299
172,0.268675,-0.070687,-0.134654,-0.124229,0.367084,-0.142423,1.37445
173,0.357803,-0.031318,-0.00854792,-0.0375666,0.284643,-0.122259,1.25291
174,0.290734,0.032096,0.0732103,0.0698391,0.0945764,-0.263988,1.31471
175,0.189087,-0.0913095,0.179493,0.133684,0.105947,-0.0928522,1.40975
176,0.219173,0.0547654,0.286909,0.0488849,0.0833892,-0.0177187,1.38631
177,0.279205,-0.0515068,0.177257,0.00439926,0.0372387,0.0617248,1.30671
178,0.410539,-0.15024,0.0831442,-0.193882,-0.130017,0.000903462,1.1959
179,0.378892,-0.174216,0.0522966,-0.154715,0.00281473,-0.0866743,1.21868
180,0.40953,-0.0735873,0.146572,-0.282759,-0.158175,0.0714352,1.21882
181,0.347587,-0.107796,0.0549358,-0.254377,-0.0569258,-0.0341228,1.25698
182,0.439956,-0.0471843,0.00565765,-0.280883,0.00178599,-0.154961,1.17642
183,0.379249,-0.136637,-0.0985229,-0.40917,0.0789901,-0.23835,1.29562
184,0.325133,-0.157385,-0.151953,-0.391475,0.248588,-0.360731,1.39453
185,0.334107,-0.0721405,-0.043938,-0.37406,0.246907,-0.299512,1.35171
186,0.238164,0.0424719,0.106062,-0.182717,0.046907,-0.14429,1.35844
187,0.388164,-0.0573331,-0.0183764,-0.382717,-0.0576173,-0.10734,1.25042
188,0.311296,-0.207333,-0.0959939,-0.567721,0.00764771,-0.153662,1.40873
189,0.254961,-0.220369,-0.0165172,-0.410872,0.108731,0.0462749,1.40108
190,0.404961,-0.333369,0.101899,-0.42316,0.157886,0.221981,1.3168
191,0.395609,-0.183369,0.00576923,-0.5112,0.321124,0.0313953,1.33422
192,0.314934,-0.225147,-0.00318977,-0.481225,0.356159,-0.166943,1.41922
193,0.266381,-0.250071,0.0840554,-0.281225,0.407806,-0.122871,1.42534
194,0.116381,-0.139093,0.2043,-0.081225,0.347932,0.0382669,1.5184
195,0.22079,-0.0218197,0.165672,-0.211226,0.147932,0.213983,1.40097
196,0.272075,-0.0895501,0.28015,-0.317208,0.0223097,0.213214,1.38555
197,0.311126,-0.231591,0.139835,-0.35541,-0.17769,0.0612091,1.34966
198,0.221006,-0.168658,0.0326648,-0.187711,-0.134277,-0.0942247,1.38333
199,0.146096,-0.0186579,0.0148597,-0.095863,-0.0664185,-0.0127628,1.42972
200,0.177183,-0.0171242,0.0642956,-0.186558,0.0782145,0.0161494,1.40988
