s,map,is_failed,is_success,iter,elapsed,f_err
1,141,0,0,200,2.63229,1.56914
1,140,0,0,200,2.61388,2.12852
1,139,0,0,200,2.62186,1.10779
1,138,0,1,110,1.46008,0.0558584
1,137,0,0,200,2.62386,0.293123
1,136,0,0,200,2.60994,0.658429
1,135,0,0,200,2.6518,2.27551
1,134,0,0,200,2.62791,0.669205
1,133,0,1,178,2.35612,0.0885345
1,132,0,1,92,1.21956,0.0527008
1,131,0,1,60,0.800345,0.0494792
1,130,0,0,200,2.6245,0.27767
1,129,0,1,58,0.767374,0.0932037
1,128,0,1,68,0.893309,0.087188
1,127,0,1,74,0.967988,0.0617971
1,126,0,1,84,1.09069,0.0586854
1,125,0,0,200,2.62686,2.99051
1,124,0,0,200,2.63555,1.62956
1,123,0,1,62,0.811384,0.0737599
1,122,0,0,200,2.61067,1.67885
1,121,0,1,62,0.817758,0.0765943
1,120,0,1,111,1.45706,0.033229
1,119,0,1,80,1.05107,0.0768802
1,118,0,0,200,2.60972,1.65846
1,117,0,1,188,2.48453,0.0790798
1,116,0,1,45,0.602611,0.0875917
1,115,0,1,108,1.42506,0.0942466
1,114,0,0,200,2.61599,1.64865
1,113,0,1,78,1.03108,0.0902272
1,112,0,0,200,2.64293,0.586072
1,111,0,0,200,2.57517,3.75941
1,110,0,1,54,0.719092,0.0842917
1,109,0,0,200,2.59577,0.630945
1,108,0,1,194,2.59217,0.0722066
1,107,0,0,200,2.61969,1.28521
1,106,0,1,76,1.00651,0.0883828
1,105,0,0,200,2.60969,1.27896
1,104,0,0,200,2.62773,1.00643
1,103,0,0,200,2.6118,1.42166
1,102,0,0,200,2.62483,0.755003
1,101,0,1,55,0.732106,0.0968235
1,100,0,1,122,1.60609,0.0745086
1,99,0,0,200,2.62934,0.966621
1,98,0,0,200,2.63005,0.86811
1,97,0,0,200,2.61001,0.726759
1,96,0,1,66,0.87562,0.0740107
1,95,0,1,98,1.27998,0.0826516
1,94,0,0,200,2.61531,1.20715
1,93,0,1,70,0.939552,0.0815922
1,92,0,0,200,2.62289,1.27502
1,91,0,1,63,0.830307,0.0561843
1,90,0,0,200,2.63528,2.14974
1,89,0,0,200,2.63039,0.5329
1,88,0,1,150,1.98111,0.081269
1,87,0,0,200,2.64273,1.02781
1,86,0,0,200,2.61905,1.65322
1,85,0,0,200,2.62636,0.528204
1,84,0,0,200,2.61559,0.928644
1,83,0,0,200,2.62897,3.06789
1,82,0,1,65,0.85904,0.0693588
1,81,0,0,200,2.61478,0.279577
1,80,0,1,110,1.44789,0.0783312
1,79,0,1,129,1.69852,0.0683034
1,78,0,0,200,2.63229,5.5127
1,77,0,0,200,2.61598,2.63129
1,76,0,1,98,1.30197,0.0640213
1,75,0,1,105,1.3885,0.0783728
1,74,0,1,76,1.00426,0.0865154
1,73,0,1,171,2.252,0.0878963
1,72,0,0,200,2.62859,0.753401
1,71,0,0,200,2.63953,0.192796
1,70,0,0,200,2.64476,0.247745
1,69,0,0,200,2.62932,0.980755
1,68,0,0,200,2.6382,1.87176
1,67,0,1,45,0.606438,0.0780758
1,66,0,0,200,2.62961,0.579668
1,65,0,1,50,0.669133,0.0844512
1,64,0,0,200,2.63937,2.40338
1,63,0,0,200,2.61826,2.91859
1,62,0,0,200,2.6255,0.344861
1,61,0,0,200,2.62932,3.70035
1,60,0,0,200,2.64623,2.73814
1,59,0,0,200,2.6012,0.608064
1,58,0,0,200,2.61612,0.544508
1,57,0,0,200,2.63028,2.37445
1,56,0,1,89,1.17738,0.0463088
1,55,0,0,200,2.63566,1.99006
1,54,0,0,200,2.63165,0.766263
1,53,0,1,68,0.906338,0.0851164
1,52,0,1,162,2.13533,0.098127
1,51,0,0,200,2.61938,1.90699
1,50,0,1,93,1.22527,0.0781093
1,49,0,1,104,1.36937,0.0924528
1,48,0,1,78,1.02595,0.0803095
1,47,0,1,51,0.680634,0.0793101
1,46,0,0,200,2.62686,1.00767
1,45,0,0,200,2.63797,1.16557
1,44,0,1,166,2.18524,0.0945787
1,43,0,0,200,2.62539,2.74172
1,42,0,1,65,0.874734,0.0827111
1,41,0,0,200,2.97662,1.39731
1,40,0,1,64,0.852841,0.0273471
1,39,0,1,48,0.637259,0.0668021
1,38,0,1,138,1.81012,0.048701
1,37,0,0,200,2.63855,1.25046
1,36,0,0,200,2.6086,1.99658
1,35,0,1,78,1.04549,0.0964174
