s,map,is_failed,is_success,iter,elapsed,f_err
1,153,0,0,200,4.57949,0.935309
1,152,0,0,200,4.4913,2.3167
1,151,0,0,200,4.44224,5.17846
1,150,0,1,77,1.68008,0.0537922
1,149,0,0,200,4.50314,2.42741
1,148,0,1,177,3.99401,0.0692664
1,147,0,0,200,4.41502,4.42016
1,146,0,0,200,4.46422,1.42334
1,145,0,1,135,2.94137,0.0719879
1,144,0,0,200,4.41445,0.659731
1,143,0,0,200,4.50539,2.66804
1,142,0,1,62,1.37025,0.0996711
1,141,0,0,200,4.57307,0.414555
1,140,0,1,66,1.64537,0.0895992
1,139,0,0,200,4.52603,1.10033
1,138,0,1,174,3.83147,0.0882324
1,137,0,1,175,3.94166,0.0619006
1,136,0,0,200,4.38474,0.798906
1,135,0,0,200,4.47646,1.66476
1,134,0,0,200,4.42356,3.59822
1,133,0,0,200,4.37445,3.7068
1,132,0,0,200,4.4347,0.202947
1,131,0,0,200,4.66589,1.96031
1,130,0,1,186,4.1545,0.0547611
1,129,0,0,200,4.57946,2.01758
1,128,0,0,200,4.71586,0.908591
1,127,0,0,200,4.8193,3.08582
1,126,0,0,200,5.01094,1.90822
1,125,0,1,142,3.53506,0.0714945
1,124,0,0,200,4.78058,0.952636
1,123,0,1,169,3.8872,0.0961724
1,122,0,1,60,1.52161,0.0784518
1,121,0,0,200,4.59791,1.07427
1,120,0,1,77,1.75031,0.0624613
1,119,0,0,200,4.83235,0.94256
1,118,0,0,200,4.63553,1.13782
1,117,0,0,200,4.59713,1.82444
1,116,0,1,83,1.81913,0.0301129
1,115,0,0,200,4.7614,1.22438
1,114,0,0,200,4.53802,6.17876
1,113,0,0,200,4.59981,0.757929
1,112,0,0,200,4.58263,1.71138
1,111,0,1,169,3.73853,0.099688
1,110,0,0,200,4.578,1.15412
1,109,0,0,200,4.56572,0.357221
1,108,0,0,200,4.47989,1.66647
1,107,0,0,200,4.52796,1.79267
1,106,0,0,200,4.71885,3.1047
1,105,0,1,145,3.57105,0.09582
1,104,0,0,200,4.74462,0.277179
1,103,0,0,200,4.69073,4.57701
1,102,0,0,200,4.63883,0.970505
1,101,0,1,70,1.62921,0.0977303
1,100,0,1,58,1.28883,0.0656843
1,99,0,1,131,3.07944,0.08495
1,98,0,0,200,4.51064,0.853383
1,97,0,0,200,4.38685,0.603046
1,96,0,0,200,4.45657,0.779919
1,95,0,0,200,4.47001,0.604722
1,94,0,1,67,1.59018,0.0818965
1,93,0,1,107,2.47587,0.0760345
1,92,0,0,200,4.81065,3.63127
1,91,0,0,200,4.75073,1.48227
1,90,0,1,73,1.69576,0.0571286
1,89,0,0,200,4.88598,2.06472
1,88,0,0,200,4.69175,1.90725
1,87,0,0,200,4.47123,2.58251
1,86,0,1,64,1.41396,0.0680376
1,85,0,1,103,2.35904,0.0706869
1,84,0,0,200,4.52773,1.75746
1,83,0,0,200,4.42661,1.93615
1,82,0,0,200,4.40508,1.50405
1,81,0,1,148,3.33734,0.0570586
