s,map,is_failed,is_success,iter,elapsed,f_err
0,105,0,0,200,7.78118,2.52589
0,104,0,1,60,2.14851,0.0667394
0,103,0,0,200,7.82719,1.91557
0,102,0,0,200,7.76398,1.88861
0,101,0,0,200,8.33772,1.32229
0,100,0,0,200,8.2276,0.806133
0,99,0,1,78,2.79629,0.0738186
0,98,0,0,200,7.85543,0.976975
0,97,0,1,51,1.93697,0.0914353
0,96,0,1,64,2.14768,0.0637966
0,95,0,0,200,8.24326,1.79589
0,94,0,0,200,8.59503,0.693191
0,93,0,1,154,6.92689,0.0315516
0,92,0,1,70,2.3198,0.0921496
0,91,0,0,200,8.13841,0.781683
0,90,0,0,200,9.17411,3.60875
0,89,0,0,200,8.8335,0.39552
0,88,0,1,172,6.95609,0.0986387
0,87,0,1,51,2.04777,0.0990419
0,86,0,0,200,8.37824,1.06272
0,85,0,0,200,7.602,1.40087
0,84,0,0,200,7.81343,8.68952
0,83,0,1,55,2.11776,0.061686
0,82,0,1,98,4.07891,0.0835916
0,81,0,0,200,7.98373,1.72799
0,80,0,0,200,7.88788,2.30406
0,79,0,1,62,2.37486,0.0711405
0,78,0,1,89,3.05993,0.0576056
0,77,0,0,200,8.47758,1.17548
0,76,0,0,200,7.95057,2.27949
0,75,0,1,57,2.18376,0.089783
0,74,0,1,83,3.26735,0.0992332
0,73,0,1,54,1.87334,0.0609266
0,72,0,0,200,8.41651,1.6235
0,71,0,1,120,5.11022,0.0788419
0,70,0,1,88,3.33858,0.0891678
0,69,0,0,200,7.78874,1.93882
0,68,0,1,55,2.1243,0.0408381
0,67,0,0,200,8.96573,0.567406
0,66,0,1,52,1.95098,0.067184
0,65,0,0,200,8.41122,0.791026
0,64,0,1,184,7.55016,0.0740037
0,63,0,1,156,7.03053,0.0897496
0,62,0,0,200,8.3981,0.348133
0,61,0,1,127,5.615,0.0312639
0,60,0,0,200,9.01827,0.573134
0,59,0,0,200,8.25286,1.72792
0,58,0,1,65,2.06013,0.0834981
0,57,0,1,72,2.70744,0.0977037
0,56,0,1,51,1.81596,0.0910877
0,55,0,0,200,8.14639,0.658225
0,54,0,0,200,8.29812,5.18296
0,53,0,0,200,8.16079,2.45237
0,52,0,0,200,8.03609,0.773306
0,51,0,1,106,4.07988,0.0967275
0,50,0,0,200,7.78729,1.64589
0,49,0,0,200,8.31338,6.14332
0,48,0,1,51,1.6824,0.068366
0,47,0,0,200,8.93744,3.1542
0,46,0,1,73,2.76353,0.0805596
0,45,0,0,200,7.7621,1.05604
0,44,0,0,200,7.40968,1.72432
0,43,0,0,200,8.07606,0.720788
0,42,0,0,200,8.56253,0.662573
0,41,0,0,200,8.17671,7.24148
0,40,0,1,63,2.49873,0.0871702
0,39,0,0,200,8.13839,0.584759
0,38,0,0,200,7.5867,1.1303
0,37,0,1,112,4.34665,0.0903099
0,36,0,1,163,7.0303,0.0536731
0,35,0,0,200,7.91427,1.27777
0,34,0,0,200,8.09614,1.1398
0,33,0,0,200,8.06392,0.566591
0,32,0,1,47,1.683,0.074876
0,31,0,0,200,8.12076,0.692827
0,30,0,1,81,2.88841,0.0436822
0,29,0,1,45,1.44997,0.0906239
0,28,0,1,93,3.68362,0.0667342
0,27,0,1,106,4.25374,0.0974009
0,26,0,0,200,7.76667,1.29687
0,25,0,0,200,7.76411,2.18538
0,24,0,0,200,7.79365,1.03819
0,23,0,1,131,5.32551,0.064763
0,22,0,0,200,7.10653,1.69378
0,21,0,0,200,7.72558,1.73976
0,20,0,0,200,9.06882,0.367291
0,19,0,0,200,7.41449,1.61967
0,18,0,1,52,2.01258,0.0522478
0,17,0,0,200,8.06099,1.61986
0,16,0,0,200,7.69149,1.73966
0,15,0,0,200,7.72264,1.57773
0,14,0,0,200,7.71677,1.72734
0,13,0,0,200,8.20941,0.521086
0,12,0,1,118,4.50564,0.0837494
0,11,0,1,67,2.6187,0.0355237
0,10,0,1,148,5.84012,0.0781043
0,9,0,0,200,8.3577,0.816942
0,8,0,1,54,1.79007,0.0631623
0,7,0,0,200,7.72397,5.33298
0,6,0,0,200,8.24017,0.939213
0,5,0,0,200,8.33669,1.12514
0,4,0,0,200,7.34819,5.08898
0,3,0,1,67,2.53106,0.0856989
0,2,0,1,159,6.70897,0.0495616
0,1,0,1,47,1.47302,0.0977224
0,0,0,0,200,8.1065,1.66052
1,299,0,0,200,7.79804,0.988541
1,298,0,0,200,7.62197,0.512557
1,297,0,0,200,7.21865,1.20849
1,296,0,0,200,7.99001,0.778727
1,295,0,0,200,7.35726,0.534365
1,294,0,0,200,7.42728,0.690463
1,293,0,1,123,4.72116,0.0954264
1,292,0,0,200,7.64211,0.717181
1,291,0,1,86,3.64718,0.0995559
1,290,0,1,148,5.73777,0.073364
1,289,0,1,68,2.44699,0.099933
1,288,0,0,200,7.28982,4.59661
1,287,0,0,200,7.11255,1.98633
1,286,0,0,200,7.36618,0.916667
1,285,0,1,76,2.79759,0.0908826
1,284,0,1,196,7.74041,0.0933169
1,283,0,1,71,2.29546,0.0974812
1,282,0,1,122,4.33084,0.0598013
1,281,0,0,200,6.87282,4.89828
1,280,0,0,200,7.94661,0.362244
1,279,0,1,89,3.09289,0.0914238
1,278,0,0,200,7.10913,2.12776
1,277,0,1,127,4.66093,0.0896716
1,276,0,1,114,4.40288,0.0954076
1,275,0,0,200,7.37397,7.00172
1,274,0,1,74,2.75293,0.0998566
1,273,0,0,200,7.06669,0.413193
1,272,0,0,200,6.34485,4.35828
1,271,0,1,61,2.08209,0.0915187
1,270,0,1,144,5.37022,0.0988106
1,269,0,0,200,8.04672,0.626118
1,268,0,0,200,7.39658,0.933631
1,267,0,0,200,7.27937,2.99876
1,266,0,1,85,3.17564,0.0790201
1,265,0,0,200,7.34368,1.27213
1,264,0,0,200,7.55858,1.54117
1,263,0,0,200,7.53501,3.14264
1,262,0,1,97,3.43441,0.0743198
1,261,0,1,94,3.14959,0.0865565
1,260,0,0,200,7.3036,0.688484
1,259,0,0,200,8.08235,1.55037
1,258,0,0,200,7.76764,1.21795
1,257,0,1,114,4.39084,0.0913726
1,256,0,0,200,7.68987,0.403274
1,255,0,1,71,2.40443,0.0751458
1,254,0,0,200,7.6753,0.593309
1,253,0,0,200,7.71177,0.811352
1,252,0,0,200,8.16814,1.01388
1,251,0,0,200,7.70497,0.477885
1,250,0,1,160,6.17496,0.0837956
1,249,0,0,200,7.96276,0.646127
1,248,0,0,200,7.40071,1.62236
1,247,0,0,200,8.00105,3.99622
1,246,0,1,193,7.64249,0.0364166
1,245,0,1,157,5.94912,0.0530938
1,244,0,0,200,7.6411,0.581717
1,243,0,0,200,7.97557,1.49714
1,242,0,0,200,7.22203,1.89155
1,241,0,1,93,2.83567,0.0881736
1,240,0,1,89,3.28746,0.0712166
1,239,0,0,200,8.4695,3.59607
1,238,0,0,200,8.09376,1.33425
1,237,0,1,107,4.08201,0.0915494
1,236,0,1,58,2.00939,0.0610476
1,235,0,1,102,3.42144,0.0715145
1,234,0,1,133,5.23613,0.0611554
1,233,0,0,200,8.13566,0.38492
1,232,0,1,168,6.5152,0.0603679
1,231,0,0,200,8.39056,0.984432
1,230,0,0,200,7.86762,1.31969
1,229,0,0,200,7.671,0.587329
1,228,0,1,96,3.6027,0.0870912
1,227,0,1,155,5.92901,0.0493879
1,226,0,0,200,7.47719,15.4181
1,225,0,0,200,7.89975,1.31236
1,224,0,1,56,1.79702,0.0696701
1,223,0,0,200,6.95768,3.60937
1,222,0,1,132,5.0962,0.0986095
1,221,0,1,197,7.92687,0.059079
1,220,0,1,80,2.77912,0.0487904
1,219,0,0,200,7.15774,0.598135
