s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
1,179,0,19,1.29109,0.462815,0.593371,0.00121863,0.233688,4.18939
1,178,1,88,7.739,2.04361,3.27615,0.0151474,2.4041,0.0851433
1,177,1,91,7.79897,2.12721,3.06308,0.0220686,2.58661,0.0830635
1,176,1,99,8.26807,2.33101,3.4038,0.0210067,2.51226,0.0892937
1,175,1,87,6.89376,1.99706,2.09236,0.0218651,2.78247,0.0842125
1,174,0,40,2.21685,0.906249,0.870207,0.00266291,0.437733,3.10856
1,173,1,92,7.80661,2.09951,3.30938,0.020933,2.37678,0.0986724
1,172,1,84,7.69409,1.96867,3.41532,0.0180411,2.29206,0.0374986
1,171,1,86,6.24827,2.05703,2.46433,0.0152637,1.71165,0.0961425
1,170,1,96,8.13713,2.24777,2.887,0.0237672,2.97859,0.084677
1,169,1,99,8.02946,2.3543,3.30592,0.0218902,2.34735,0.08883
1,168,1,109,9.09744,2.48451,2.80293,0.0279554,3.78205,0.0442397
1,167,1,82,7.26537,1.88348,2.85109,0.023231,2.50757,0.0983115
1,166,1,74,6.63896,1.7033,2.87343,0.0159149,2.04632,0.0968307
1,165,0,35,2.11299,0.793064,0.87593,0.00248673,0.44151,3.22326
1,164,1,94,8.92436,2.14208,3.76163,0.0242108,2.99644,0.0232724
1,163,1,87,7.11244,2.07322,2.7095,0.0190541,2.31068,0.0263036
1,162,1,101,8.0069,2.34643,2.82892,0.0219956,2.80955,0.0626084
1,161,1,87,8.26817,2.01191,3.94873,0.0191794,2.28835,0.0454851
1,160,1,90,7.30914,2.0646,3.16993,0.0146591,2.05995,0.0715633
1,159,1,96,8.1851,2.20955,3.9506,0.0154551,2.0095,0.097327
1,158,1,98,8.57547,2.26837,2.78594,0.0264569,3.49471,0.0846502
1,157,1,77,6.88609,1.82191,2.49326,0.0191612,2.55175,0.0748411
1,156,1,100,9.03805,2.31782,4.42177,0.0208916,2.27757,0.0535469
1,155,1,86,6.80189,1.998,2.05804,0.0202595,2.72559,0.0935033
1,154,1,94,7.13506,2.14134,2.69932,0.0180033,2.27639,0.0926341
1,153,1,93,8.60072,2.16201,3.42624,0.022274,2.9902,0.0929677
1,152,1,92,7.85872,2.14252,3.35724,0.0179541,2.34101,0.0992281
1,151,1,96,7.96576,2.20076,3.14878,0.0208714,2.59535,0.0515829
1,150,1,90,7.86226,2.08224,3.06652,0.0200368,2.69346,0.0613852
1,149,0,23,1.47953,0.523617,0.701246,0.00148707,0.253176,3.97908
1,148,1,93,7.11867,2.12614,2.47779,0.0219022,2.49285,0.0863338
1,147,1,83,7.71457,1.92469,3.39099,0.0202203,2.37866,0.0971768
1,146,1,92,7.88817,2.09145,3.5418,0.0174368,2.23749,0.0236641
1,145,1,96,8.13221,2.21266,3.66243,0.0185771,2.23854,0.0879052
1,144,1,74,7.13315,1.74146,3.11997,0.0161038,2.25562,0.037132
1,143,1,104,8.43397,2.38156,3.76369,0.0191036,2.26962,0.0749652
1,142,1,83,7.3304,1.9803,2.61262,0.0188531,2.71863,0.0972103
1,141,1,106,9.45119,2.45406,4.36785,0.0215202,2.60776,0.0754685
1,140,1,89,7.43851,2.10877,2.69547,0.0195253,2.61474,0.0916413
1,139,1,83,6.40148,1.91935,2.40417,0.016521,2.06144,0.0936079
1,138,1,93,7.84072,2.14556,3.63484,0.0158799,2.04444,0.0393517
1,137,1,109,7.28744,2.48541,2.16109,0.021324,2.61961,0.0829825
1,136,1,99,6.9529,2.24056,2.08702,0.0243566,2.60097,0.0435524
1,135,1,86,8.2746,1.98788,3.98487,0.0215172,2.28033,0.0548458
1,134,1,104,7.38296,2.36474,2.39059,0.0221595,2.60547,0.0770535
