Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
270,1.6204,-1.63976,0.263505,-0.233093,0.0537775,-0.429987,1.73287
271,1.5454,-1.71476,0.306049,-0.162628,0.0711878,-0.490367,1.81843
272,1.51281,-1.78976,0.381049,-0.211148,-0.00741505,-0.54036,1.92053
273,1.53313,-1.86476,0.306049,-0.233568,-0.00586655,-0.623755,2.00402
274,1.45813,-1.78976,0.301873,-0.322329,-0.0031092,-0.577551,1.93508
275,1.52606,-1.71476,0.340928,-0.411595,0.0968908,-0.582319,1.89118
276,1.51471,-1.63976,0.415928,-0.424049,0.0365767,-0.482319,1.81073
277,1.43971,-1.60176,0.340928,-0.491081,0.123675,-0.440018,1.77458
278,1.46602,-1.52676,0.412257,-0.448554,0.0629998,-0.340018,1.68307
279,1.398,-1.60176,0.487257,-0.505379,-0.027446,-0.379499,1.79808
280,1.43389,-1.52676,0.412257,-0.456271,-0.0443572,-0.389394,1.69749
281,1.50889,-1.56227,0.337257,-0.482057,-0.0508475,-0.435522,1.72711
282,1.55176,-1.53246,0.3,-0.570814,-0.142053,-0.389655,1.71366
283,1.62676,-1.56678,0.375,-0.670814,-0.156957,-0.427919,1.80452
284,1.55176,-1.64178,0.437397,-0.714352,-0.098863,-0.479198,1.90705
285,1.59293,-1.715,0.512397,-0.614352,-0.0529045,-0.452842,1.94668
286,1.55251,-1.64,0.587397,-0.534402,0.0470955,-0.396449,1.86546
287,1.62751,-1.565,0.571369,-0.569611,-0.0529045,-0.469891,1.82399
288,1.55659,-1.49233,0.496369,-0.469611,-0.14024,-0.369891,1.68839
289,1.63159,-1.56733,0.568015,-0.473244,-0.173032,-0.469891,1.80487
290,1.70659,-1.49233,0.554671,-0.568584,-0.187009,-0.501736,1.77852
291,1.63583,-1.41733,0.560631,-0.481617,-0.10879,-0.555435,1.69695
292,1.71083,-1.35795,0.594485,-0.48165,-0.190369,-0.53727,1.66551
293,1.72665,-1.4143,0.579604,-0.480261,-0.134679,-0.484593,1.68645
294,1.68456,-1.4893,0.654604,-0.540467,-0.0921593,-0.395767,1.76542
295,1.72926,-1.5643,0.729604,-0.635533,-0.0622044,-0.295767,1.87075
296,1.71491,-1.4893,0.654604,-0.613822,-0.0987679,-0.395767,1.79178
297,1.67834,-1.41903,0.588076,-0.684625,-0.0498621,-0.310708,1.71429
298,1.65267,-1.49403,0.513076,-0.595634,-0.132837,-0.221424,1.70984
299,1.65692,-1.56903,0.438076,-0.67209,-0.15284,-0.253635,1.78902
300,1.58192,-1.55048,0.363076,-0.609221,-0.112074,-0.225793,1.72355
301,1.53164,-1.47548,0.425183,-0.585482,-0.0120741,-0.28087,1.66768
302,1.55697,-1.44568,0.456564,-0.498001,0.0178117,-0.321165,1.62792
303,1.49576,-1.37068,0.517318,-0.548777,-0.00379643,-0.267462,1.58894
304,1.51008,-1.40108,0.442318,-0.474051,-0.0638506,-0.327119,1.58056
305,1.47078,-1.36647,0.470644,-0.411816,-0.139684,-0.321107,1.54627
306,1.53319,-1.29147,0.532536,-0.447706,-0.0774303,-0.402,1.52346
307,1.60819,-1.21647,0.607536,-0.547706,-0.0412694,-0.307691,1.49888
308,1.59622,-1.275,0.682536,-0.594406,-0.127151,-0.212643,1.5833
309,1.67122,-1.2,0.757536,-0.532286,-0.147283,-0.276147,1.55088
310,1.61467,-1.125,0.682536,-0.51223,-0.110848,-0.365745,1.4635
311,1.53967,-1.2,0.607536,-0.56878,-0.0196525,-0.265745,1.48479
312,1.61467,-1.24838,0.532536,-0.474681,-0.0143662,-0.365745,1.48434
313,1.64636,-1.17338,0.52338,-0.374681,-0.0410155,-0.270529,1.3681
314,1.72136,-1.09838,0.59838,-0.325359,-0.115289,-0.317792,1.34436
315,1.68352,-1.10393,0.57938,-0.308782,-0.0628803,-0.370754,1.34306
316,1.68653,-1.09454,0.65438,-0.242597,-0.103286,-0.470754,1.38952
317,1.67171,-1.0456,0.610893,-0.155265,-0.117746,-0.570754,1.35661
318,1.6095,-0.976335,0.535893,-0.230072,-0.205228,-0.579659,1.29343
319,1.6845,-1.05133,0.460895,-0.232885,-0.116546,-0.639319,1.34432
320,1.62997,-0.991093,0.385895,-0.288716,-0.178531,-0.716143,1.32769
321,1.56443,-1.06609,0.333059,-0.388716,-0.154878,-0.63151,1.3496
322,1.63943,-0.991093,0.299521,-0.454327,-0.254878,-0.53151,1.27694
323,1.63625,-0.961743,0.324411,-0.354327,-0.263231,-0.61189,1.26638
324,1.6695,-1.03674,0.351221,-0.447989,-0.285699,-0.54642,1.33747
325,1.63757,-1.11026,0.321892,-0.516259,-0.21082,-0.574844,1.40789
