map,is_failed,is_landed,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
86,0,1,135,1.86649,1.33973,0.291399,0.00351579,0.23184,0.351271
85,0,1,149,2.04761,1.47898,0.308347,0.00381176,0.256474,0.317269
84,0,1,131,1.84562,1.30473,0.304111,0.00292027,0.233864,0.217012
83,0,1,112,1.64841,1.12044,0.338073,0.00219471,0.187706,0.0795436
82,0,1,102,1.39892,1.01972,0.206148,0.00214352,0.170907,0.279953
81,0,1,140,1.96303,1.39108,0.323422,0.00237841,0.246143,0.219581
80,0,1,133,1.8603,1.32252,0.307717,0.00431014,0.225751,0.451542
79,0,1,109,1.53165,1.08599,0.262807,0.00292554,0.179924,0.207859
78,1,0,200,2.78693,1.97714,0.470824,0.00565548,0.333311,1.59665
77,0,1,154,2.07728,1.53179,0.288823,0.00345904,0.253207,0.565165
76,1,0,200,2.77097,1.97292,0.470552,0.00531971,0.322175,1.29072
75,0,1,139,1.8819,1.38564,0.272912,0.00260135,0.220743,0.343355
74,0,1,144,1.97162,1.42951,0.294713,0.00305293,0.244342,0.316091
73,0,1,130,1.864,1.29973,0.336433,0.00285553,0.224977,0.381125
72,0,1,118,1.62458,1.17189,0.250713,0.00239854,0.199581,0.0770937
71,0,1,118,1.65154,1.17303,0.281588,0.00382387,0.193091,0.0708633
70,0,1,130,1.83189,1.29145,0.3148,0.00235996,0.223283,0.164807
69,0,1,164,2.4088,1.62975,0.484881,0.00366847,0.290499,0.811655
68,0,1,125,1.69431,1.24574,0.242142,0.00390905,0.202521,0.166923
67,0,1,139,1.89064,1.38382,0.267205,0.00286742,0.236756,0.171666
66,1,0,200,2.73121,1.97644,0.428179,0.00542476,0.321167,1.34563
65,0,1,120,1.73526,1.19689,0.333468,0.00336854,0.201535,0.275528
64,0,1,161,2.28351,1.59869,0.400942,0.00369657,0.280185,0.373778
63,0,1,119,1.65083,1.18673,0.258223,0.00366563,0.202212,0.0650853
62,0,1,159,2.21971,1.58058,0.367759,0.00292708,0.268441,0.457218
61,1,0,200,2.67042,1.9701,0.38617,0.00520865,0.308944,1.04548
60,0,1,123,1.78983,1.22483,0.357284,0.00344829,0.204272,0.117257
59,0,1,142,1.98512,1.41115,0.31822,0.00343551,0.252313,0.294417
58,0,1,127,1.77942,1.26531,0.293205,0.00306399,0.217839,0.437437
57,0,1,111,1.51936,1.10069,0.234891,0.00255607,0.181221,0.164852
56,0,1,146,2.07217,1.45441,0.358658,0.00405115,0.255048,0.650831
55,0,1,121,1.66091,1.2028,0.262803,0.00326123,0.192051,0.39934
54,0,1,132,1.80702,1.31041,0.264375,0.00358716,0.228654,0.414562
53,0,1,146,2.00179,1.45107,0.300836,0.00312106,0.24676,0.333498
52,0,1,144,2.02598,1.43009,0.364979,0.00283755,0.228069,0.276408
51,1,0,200,2.58125,1.96957,0.312604,0.00426574,0.294812,1.73737
50,0,1,113,1.52568,1.1278,0.196584,0.00246631,0.198832,0.181113
49,1,0,200,2.77039,1.97357,0.482741,0.00533909,0.308733,1.55675
48,0,1,132,2.17128,1.31759,0.623489,0.00407325,0.226119,0.202952
47,0,1,143,1.98907,1.42209,0.338336,0.00297391,0.225673,0.115608
46,0,1,154,2.08145,1.532,0.300878,0.00289435,0.245678,0.370395
45,1,0,85,1.21902,0.850786,0.209131,0.00244313,0.156662,2.12687
44,0,1,127,1.71761,1.26376,0.232586,0.003235,0.218039,0.203247
43,1,0,200,2.73142,1.96767,0.452704,0.00524261,0.305801,1.74647
42,0,1,125,1.70242,1.24526,0.249755,0.00374872,0.203659,0.290346
41,1,0,200,2.63375,1.97291,0.349573,0.00449963,0.306768,1.60921
40,0,1,116,1.5858,1.15166,0.232828,0.00360965,0.197703,0.330345
39,0,1,117,1.61487,1.16616,0.250259,0.00226993,0.196186,0.477621
38,0,1,167,2.29114,1.65926,0.331573,0.00348939,0.296812,0.870506
37,0,1,141,1.99859,1.4016,0.334504,0.00260594,0.259885,0.524327
36,0,1,126,1.79082,1.25624,0.307946,0.00235104,0.22428,0.834053
35,0,1,135,1.82245,1.34125,0.256869,0.00349322,0.220841,0.21745
34,0,1,126,1.80328,1.25088,0.329327,0.00352417,0.219548,0.327079
33,0,1,117,1.61965,1.16436,0.256875,0.00348102,0.194937,0.0885351
32,0,1,121,1.66887,1.20596,0.262737,0.00281133,0.197356,0.421224
31,0,1,106,1.42415,1.05818,0.178926,0.00181433,0.185235,0.365831
