s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
0,194,1,92,32.573,0.149514,32.3012,0.00134314,0.120871,0.0624975
0,193,1,95,25.2862,0.147872,25.0048,0.00137215,0.132121,0.0693252
0,192,1,78,45.9333,0.127088,45.6867,0.0011229,0.118321,0.0361515
0,191,1,98,54.6894,0.162795,54.3817,0.00148797,0.143468,0.0922626
0,190,1,76,21.904,0.122583,21.6767,0.00106353,0.10361,0.0930462
0,189,1,90,34.7251,0.158091,34.4339,0.00126981,0.131808,0.0464777
0,188,1,64,31.0727,0.102151,30.8712,0.000916961,0.0984641,0.0982222
0,187,1,100,23.5542,0.178986,23.2259,0.00159831,0.147752,0.0619272
0,186,1,81,29.8517,0.133799,29.5863,0.00115193,0.130449,0.0785515
0,185,1,93,36.6782,0.155435,36.4028,0.00133692,0.118693,0.0731869
0,184,1,81,45.5023,0.132867,45.2497,0.00118035,0.118539,0.089194
0,183,0,44,15.4078,0.0935392,15.2251,0.000622035,0.0885939,3.83234
0,182,1,89,46.9643,0.14548,46.6807,0.00144465,0.136764,0.0514863
0,181,1,90,32.4377,0.134567,32.1741,0.00127222,0.127784,0.0578051
0,180,1,74,33.3748,0.117848,33.1506,0.00106126,0.105277,0.0823
0,179,1,82,34.7431,0.144223,34.4728,0.00139535,0.124734,0.0791634
0,178,0,58,26.996,0.0994749,26.7832,0.000820548,0.112544,3.90964
0,177,1,79,36.3267,0.144312,36.068,0.00122157,0.113176,0.0811528
0,176,1,71,37.7803,0.120938,37.5298,0.00109068,0.128386,0.096507
0,175,1,95,24.6082,0.162646,24.3136,0.00146287,0.130514,0.0994097
0,174,1,80,31.9936,0.131428,31.7428,0.00124192,0.118145,0.0986816
0,173,1,92,45.1255,0.158287,44.8295,0.0013432,0.136392,0.0545353
0,172,1,84,51.8545,0.144237,51.58,0.00148847,0.128748,0.0785455
0,171,1,99,36.2508,0.144647,35.9551,0.0014229,0.149662,0.0951975
0,170,1,79,31.5881,0.133967,31.3305,0.0013038,0.122262,0.0894345
0,169,1,94,45.1706,0.144233,44.8966,0.00145851,0.128272,0.00662938
0,168,1,76,26.3739,0.126401,26.1348,0.0010755,0.111594,0.0972716
0,167,1,109,55.2918,0.182901,54.9579,0.00158481,0.149356,0.0987398
0,166,1,112,59.6869,0.176195,59.3475,0.00158684,0.16161,0.0811745
0,165,1,87,35.7939,0.144135,35.5284,0.00124261,0.120161,0.0988485
0,164,1,75,43.9353,0.127056,43.6891,0.00109095,0.118056,0.0657403
0,163,1,96,38.3705,0.164199,38.0625,0.00146645,0.142328,0.0583682
0,162,1,90,36.8944,0.146335,36.6178,0.00126494,0.129031,0.0706457
0,161,1,86,54.3307,0.147487,54.0452,0.00126805,0.136807,0.0706079
0,160,1,93,50.5234,0.148551,50.2349,0.00133918,0.138613,0.094847
0,159,1,84,48.0263,0.136771,47.7653,0.00121047,0.122993,0.0482914
0,158,1,80,33.1338,0.132784,32.8859,0.00123518,0.113869,0.0764685
0,157,1,108,47.0396,0.175515,46.7073,0.00155674,0.155183,0.0684392
0,156,1,105,56.6147,0.171044,56.2972,0.00148596,0.144945,0.0913385
0,155,1,92,29.9463,0.146022,29.661,0.00153928,0.137738,0.0594947
0,154,1,87,33.1595,0.160461,32.8685,0.00124396,0.129339,0.0804193
0,153,1,87,46.4644,0.129149,46.2026,0.00124911,0.131421,0.051774
0,152,1,75,43.4932,0.126007,43.253,0.00105934,0.113199,0.078866
0,151,1,75,35.8998,0.127591,35.6489,0.00108158,0.122247,0.0989635
0,150,0,89,35.5825,0.156345,35.2599,0.00133002,0.164964,2.33171
0,149,1,103,54.2251,0.189792,53.8741,0.00147532,0.159737,0.0975904
0,148,1,79,30.9041,0.131725,30.6557,0.00109991,0.115602,0.0632984
0,147,1,70,45.5278,0.128805,45.2942,0.00119625,0.103598,0.0754736
0,146,1,94,50.841,0.143755,50.5719,0.00145732,0.123876,0.0988342
0,145,1,93,55.5651,0.163043,55.2701,0.00133185,0.130645,0.092711
0,144,1,99,51.57,0.17157,51.2486,0.00145863,0.148364,0.0812664
0,143,1,97,52.9647,0.157081,52.6646,0.00140596,0.141621,0.0383603
0,142,1,123,52.8701,0.220529,52.4773,0.00177043,0.170478,0.0605937
0,141,1,81,48.075,0.150408,47.8132,0.00124536,0.11007,0.0463267
0,140,0,85,23.105,0.155622,22.8018,0.00128961,0.146294,3.75045
0,139,1,87,32.6109,0.133811,32.3429,0.00153519,0.132663,0.0932378
0,138,0,36,19.4364,0.0575168,19.3111,0.000528132,0.067292,2.01286
0,137,1,118,30.8888,0.194778,30.5218,0.00167473,0.170552,0.071709
0,136,1,107,26.0065,0.184033,25.6657,0.00178752,0.154978,0.0668771
0,135,1,94,54.841,0.150798,54.544,0.00134002,0.144894,0.0653237
0,134,0,200,49.5415,0.343209,48.9263,0.00280833,0.269142,0.635087
0,133,1,93,40.5275,0.166444,40.2338,0.00130031,0.125875,0.089034
0,132,1,100,32.9798,0.161323,32.6638,0.00162612,0.153034,0.0689118
0,131,1,81,32.5282,0.136813,32.2766,0.00124919,0.113625,0.0782838
0,130,1,92,63.0266,0.16185,62.7347,0.00133323,0.128675,0.0805097
0,129,1,78,39.8071,0.144419,39.5543,0.00112197,0.107255,0.0918337
0,128,1,105,62.0415,0.182636,61.7118,0.00147713,0.145549,0.0485453
0,127,1,77,31.7324,0.14119,31.4729,0.00114915,0.117153,0.0602385
0,126,1,77,25.6445,0.120822,25.4012,0.00111457,0.121352,0.0912353
0,125,1,98,47.8381,0.163647,47.5131,0.00150205,0.159878,0.0992502
0,124,1,72,40.1913,0.126626,39.9443,0.00105095,0.119376,0.0901685
0,123,1,75,31.9545,0.135049,31.7079,0.00120593,0.110326,0.0935557
0,122,1,76,45.1943,0.123891,44.9676,0.00107548,0.101746,0.0982074
0,121,1,89,28.0934,0.152058,27.7975,0.0013112,0.142469,0.0836315
0,120,1,75,23.1671,0.128453,22.9149,0.00104063,0.122768,0.0810136
0,119,1,72,37.9321,0.115735,37.704,0.00106588,0.111314,0.0725171
0,118,1,87,19.9205,0.148862,19.6447,0.00134437,0.125524,0.0658956
0,117,1,87,43.1661,0.149482,42.8717,0.00124633,0.143712,0.0939101
0,116,1,86,42.5273,0.151049,42.2591,0.00124106,0.115859,0.0698075
0,115,1,92,31.6943,0.169077,31.3811,0.00132835,0.142782,0.0427012
0,114,1,77,43.2397,0.139076,42.9921,0.00118522,0.107341,0.0767784
0,113,1,85,23.7351,0.126698,23.4898,0.00129933,0.117283,0.0869655
0,112,1,80,21.3699,0.130686,21.1203,0.00116654,0.117698,0.0788065
