0	185	1	93	36.6782
0	184	1	81	45.5023
0	183	0	44	15.4078
0	182	1	89	46.9643
0	181	1	90	32.4377
0	180	1	74	33.3748
0	179	1	82	34.7431
0	178	0	58	26.996
0	177	1	79	36.3267
0	176	1	71	37.7803
0	175	1	95	24.6082
0	174	1	80	31.9936
0	173	1	92	45.1255
0	172	1	84	51.8545
0	171	1	99	36.2508
0	170	1	79	31.5881
0	169	1	94	45.1706
0	168	1	76	26.3739
0	167	1	109	55.2918
0	166	1	112	59.6869
0	165	1	87	35.7939
0	164	1	75	43.9353
0	163	1	96	38.3705
0	162	1	90	36.8944
0	161	1	86	54.3307
0	160	1	93	50.5234
0	159	1	84	48.0263
0	158	1	80	33.1338
0	157	1	108	47.0396
0	156	1	105	56.6147
0	155	1	92	29.9463
0	154	1	87	33.1595
0	153	1	87	46.4644
0	152	1	75	43.4932
0	151	1	75	35.8998
0	150	0	89	35.5825
0	149	1	103	54.2251
0	148	1	79	30.9041
0	147	1	70	45.5278
0	146	1	94	50.841
0	145	1	93	55.5651
0	144	1	99	51.57
0	143	1	97	52.9647
0	142	1	123	52.8701
0	141	1	81	48.075
0	140	0	85	23.105
0	139	1	87	32.6109
0	138	0	36	19.4364
0	137	1	118	30.8888
0	136	1	107	26.0065
0	135	1	94	54.841
0	134	0	200	49.5415
0	133	1	93	40.5275
0	132	1	100	32.9798
0	131	1	81	32.5282
0	130	1	92	63.0266
0	129	1	78	39.8071
0	128	1	105	62.0415
0	127	1	77	31.7324
0	126	1	77	25.6445
0	125	1	98	47.8381
0	124	1	72	40.1913
0	123	1	75	31.9545
0	122	1	76	45.1943
0	121	1	89	28.0934
0	120	1	75	23.1671
0	119	1	72	37.9321
0	118	1	87	19.9205
0	117	1	87	43.1661
0	116	1	86	42.5273
0	115	1	92	31.6943
0	114	1	77	43.2397
0	113	1	85	23.7351
0	112	1	80	21.3699
0	111	1	81	17.4152
0	110	1	76	46.0093
0	109	1	94	45.3794
0	108	1	91	31.0736
0	107	1	86	46.9558
0	106	1	73	36.1173
0	105	1	78	45.5379
0	104	1	95	32.8381
0	103	1	98	43.615
0	102	1	100	39.3762
0	101	1	90	46.2901
0	100	1	70	43.0627
0	99	1	91	51.0384
0	98	1	77	33.654
0	97	1	102	20.0816
0	96	1	91	34.8856
0	95	1	87	48.7468
0	94	1	81	50.9659
0	93	1	87	43.721
0	92	1	103	38.1811
0	91	1	73	25.6903
0	90	0	200	116.021
